Segment Type,Sovrn Segment ID,Sovrn Parent Segment ID,Segment Name,Segment Description,Tier Number,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,Tier 6,Full Path,CPM,% Media Cost,Actively Generated,"7 Day Sovrn Cookie Scale, Global","7 Day Sovrn Cookie Scale, US","7 Day HEM Scale, US","1 Day Average IP Scale, Rolling 7 Days, Global"
Commerce Audience,PIA_4381,PIA_4375,Household Cleaning Supplies,Consumers sourcing cleaning products for home maintenance.,4,Purchase Intent,Home and Garden,Household Supplies,Household Cleaning Supplies,,,Purchase Intent > Home and Garden > Household Supplies > Household Cleaning Supplies,$0.85 ,0.1,No,,,,
Commerce Audience,PIA_4400,PIA_4375,Household Paper Products,"Shoppers buying paper towels, tissues, and toilet paper.",4,Purchase Intent,Home and Garden,Household Supplies,Household Paper Products,,,Purchase Intent > Home and Garden > Household Supplies > Household Paper Products,$0.85 ,0.1,No,,,,
Commerce Audience,PIA_4406,PIA_4375,Laundry Supplies,"Buyers selecting detergent, fabric softener, and laundry accessories.",4,Purchase Intent,Home and Garden,Household Supplies,Laundry Supplies,,,Purchase Intent > Home and Garden > Household Supplies > Laundry Supplies,$0.85 ,0.1,Yes,,,,"20,000,000"
Commerce Audience,PIA_4469,PIA_2012,Kitchen and Dining,"Buyers actively exploring options for kitchen and dining to upgrade, organize, or furnish their living, working, or recreational spaces.",3,Purchase Intent,Home and Garden,Kitchen and Dining,,,,Purchase Intent > Home and Garden > Kitchen and Dining,$0.85 ,0.1,Yes,,,,"12,661,172"
Commerce Audience,PIA_4487,PIA_4469,Cookware and Bakeware,"Home cooks shopping for pots, pans, or baking essentials.",4,Purchase Intent,Home and Garden,Kitchen and Dining,Cookware and Bakeware,,,Purchase Intent > Home and Garden > Kitchen and Dining > Cookware and Bakeware,$0.85 ,0.1,Yes,,,,"20,000,000"
Commerce Audience,PIA_4493,PIA_4469,Food and Beverage Carriers,"Users looking for lunchboxes, coolers, or thermoses.",4,Purchase Intent,Home and Garden,Kitchen and Dining,Food and Beverage Carriers,,,Purchase Intent > Home and Garden > Kitchen and Dining > Food and Beverage Carriers,$0.85 ,0.1,Yes,,,,"20,000,000"
Commerce Audience,PIA_4506,PIA_4469,Food Storage,Shoppers seeking containers or systems to keep food fresh and organized.,4,Purchase Intent,Home and Garden,Kitchen and Dining,Food Storage,,,Purchase Intent > Home and Garden > Kitchen and Dining > Food Storage,$0.85 ,0.1,Yes,,,,"20,000,000"
Commerce Audience,PIA_4515,PIA_4469,Food Storage Accessories,"Accessory buyers shopping for labels, lids, or storage organizers.",4,Purchase Intent,Home and Garden,Kitchen and Dining,Food Storage Accessories,,,Purchase Intent > Home and Garden > Kitchen and Dining > Food Storage Accessories,$0.85 ,0.1,Yes,,,,"13,908,791"
Commerce Audience,PIA_4520,PIA_4469,Kitchen Appliance Accessories,Consumers purchasing add-ons and parts for kitchen appliances.,4,Purchase Intent,Home and Garden,Kitchen and Dining,Kitchen Appliance Accessories,,,Purchase Intent > Home and Garden > Kitchen and Dining > Kitchen Appliance Accessories,$0.85 ,0.1,No,,,,
Commerce Audience,PIA_4554,PIA_4469,Kitchen Appliances,Shoppers comparing countertop appliances like toasters or blenders.,4,Purchase Intent,Home and Garden,Kitchen and Dining,Kitchen Appliances,,,Purchase Intent > Home and Garden > Kitchen and Dining > Kitchen Appliances,$0.85 ,0.1,Yes,,,,"10,258,950"
Commerce Audience,PIA_4607,PIA_4469,Kitchen Tools and Utensils,Shoppers selecting cookware tools and gadgets for meal preparation.,4,Purchase Intent,Home and Garden,Kitchen and Dining,Kitchen Tools and Utensils,,,Purchase Intent > Home and Garden > Kitchen and Dining > Kitchen Tools and Utensils,$0.85 ,0.1,No,,,,
Commerce Audience,PIA_4697,PIA_2012,Lawn and Garden,"Outdoor enthusiasts investing in gardening tools, plants, or lawn care products.",3,Purchase Intent,Home and Garden,Lawn and Garden,,,,Purchase Intent > Home and Garden > Lawn and Garden,$0.85 ,0.1,Yes,,,,"18,596,479"
Commerce Audience,PIA_4768,PIA_2012,Lighting,"Buyers actively exploring options for lighting to upgrade, organize, or furnish their living, working, or recreational spaces.",3,Purchase Intent,Home and Garden,Lighting,,,,Purchase Intent > Home and Garden > Lighting,$0.85 ,0.1,Yes,,,,"20,000,000"
Commerce Audience,PIA_4793,PIA_2012,Lighting Accessories,"People in the market for lighting accessories to upgrade, organize, or furnish their living, working, or recreational spaces.",3,Purchase Intent,Home and Garden,Lighting Accessories,,,,Purchase Intent > Home and Garden > Lighting Accessories,$0.85 ,0.1,No,,,,
Commerce Audience,PIA_4799,PIA_2012,Linens and Bedding,"Shoppers looking for linens and bedding to upgrade, organize, or furnish their living, working, or recreational spaces.",3,Purchase Intent,Home and Garden,Linens and Bedding,,,,Purchase Intent > Home and Garden > Linens and Bedding,$0.85 ,0.1,Yes,,,,"20,000,000"
Commerce Audience,PIA_4823,PIA_2012,Parasols and Rain Umbrellas,"Users browsing for parasols and rain umbrellas to upgrade, organize, or furnish their living, working, or recreational spaces.",3,Purchase Intent,Home and Garden,Parasols and Rain Umbrellas,,,,Purchase Intent > Home and Garden > Parasols and Rain Umbrellas,$0.85 ,0.1,No,,,,
Commerce Audience,PIA_4824,PIA_2012,Plants,"Individuals sourcing plants to upgrade, organize, or furnish their living, working, or recreational spaces.",3,Purchase Intent,Home and Garden,Plants,,,,Purchase Intent > Home and Garden > Plants,$0.85 ,0.1,Yes,,,,"20,000,000"
Commerce Audience,PIA_4836,PIA_2012,Pool and Spa,"Households or businesses purchasing pool and spa to upgrade, organize, or furnish their living, working, or recreational spaces.",3,Purchase Intent,Home and Garden,Pool and Spa,,,,Purchase Intent > Home and Garden > Pool and Spa,$0.85 ,0.1,Yes,,,,"20,000,000"
Commerce Audience,PIA_4863,PIA_2012,Smoking Accessories,"Those seeking to upgrade with smoking accessories to upgrade, organize, or furnish their living, working, or recreational spaces.",3,Purchase Intent,Home and Garden,Smoking Accessories,,,,Purchase Intent > Home and Garden > Smoking Accessories,$0.85 ,0.1,No,,,,
Commerce Audience,PIA_4871,PIA_2012,Umbrella Sleeves and Cases,"People in the market for umbrella sleeves and cases to upgrade, organize, or furnish their living, working, or recreational spaces.",3,Purchase Intent,Home and Garden,Umbrella Sleeves and Cases,,,,Purchase Intent > Home and Garden > Umbrella Sleeves and Cases,$0.85 ,0.1,No,,,,
Commerce Audience,PIA_4872,PIA_2012,Wood Stoves,"Users browsing for wood stoves to upgrade, organize, or furnish their living, working, or recreational spaces.",3,Purchase Intent,Home and Garden,Wood Stoves,,,,Purchase Intent > Home and Garden > Wood Stoves,$0.85 ,0.1,No,,,,
Commerce Audience,PIA_4874,PIA_2013,Backpacks,"Households or businesses purchasing backpacks to upgrade, organize, or furnish their living, working, or recreational spaces.",3,Purchase Intent,Luggage and Bags,Backpacks,,,,Purchase Intent > Luggage and Bags > Backpacks,$0.85 ,0.1,Yes,,,,"19,424,842"
Commerce Audience,PIA_4875,PIA_2013,Briefcases,"Those seeking to upgrade with briefcases to upgrade, organize, or furnish their living, working, or recreational spaces.",3,Purchase Intent,Luggage and Bags,Briefcases,,,,Purchase Intent > Luggage and Bags > Briefcases,$0.85 ,0.1,Yes,,,,"20,000,000"
Commerce Audience,PIA_4876,PIA_2013,Cosmetic and Toiletry Bags,"Those seeking to upgrade with cosmetic and toiletry bags to upgrade, organize, or furnish their living, working, or recreational spaces.",3,Purchase Intent,Luggage and Bags,Cosmetic and Toiletry Bags,,,,Purchase Intent > Luggage and Bags > Cosmetic and Toiletry Bags,$0.85 ,0.1,Yes,,,,"16,167,305"
Commerce Audience,PIA_4877,PIA_2013,Diaper Bags,"People investing in diaper bags to upgrade, organize, or furnish their living, working, or recreational spaces.",3,Purchase Intent,Luggage and Bags,Diaper Bags,,,,Purchase Intent > Luggage and Bags > Diaper Bags,$0.85 ,0.1,No,,,,
Commerce Audience,PIA_4878,PIA_2013,Dry Boxes,"Individuals sourcing dry boxes to upgrade, organize, or furnish their living, working, or recreational spaces.",3,Purchase Intent,Luggage and Bags,Dry Boxes,,,,Purchase Intent > Luggage and Bags > Dry Boxes,$0.85 ,0.1,No,,,,
Commerce Audience,PIA_4879,PIA_2013,Duffel Bags,"Households or businesses purchasing duffel bags to upgrade, organize, or furnish their living, working, or recreational spaces.",3,Purchase Intent,Luggage and Bags,Duffel Bags,,,,Purchase Intent > Luggage and Bags > Duffel Bags,$0.85 ,0.1,Yes,,,,"19,082,262"
Commerce Audience,PIA_4880,PIA_2013,Fanny Packs,"Customers considering new fanny packs to upgrade, organize, or furnish their living, working, or recreational spaces.",3,Purchase Intent,Luggage and Bags,Fanny Packs,,,,Purchase Intent > Luggage and Bags > Fanny Packs,$0.85 ,0.1,No,,,,
Commerce Audience,PIA_4881,PIA_2013,Garment Bags,"Households or businesses purchasing garment bags to upgrade, organize, or furnish their living, working, or recreational spaces.",3,Purchase Intent,Luggage and Bags,Garment Bags,,,,Purchase Intent > Luggage and Bags > Garment Bags,$0.85 ,0.1,No,,,,
Commerce Audience,PIA_4882,PIA_2013,Luggage Accessories,"Shoppers looking for luggage accessories to upgrade, organize, or furnish their living, working, or recreational spaces.",3,Purchase Intent,Luggage and Bags,Luggage Accessories,,,,Purchase Intent > Luggage and Bags > Luggage Accessories,$0.85 ,0.1,No,,,,
Commerce Audience,PIA_4891,PIA_2013,Messenger Bags,"Customers considering new messenger bags to upgrade, organize, or furnish their living, working, or recreational spaces.",3,Purchase Intent,Luggage and Bags,Messenger Bags,,,,Purchase Intent > Luggage and Bags > Messenger Bags,$0.85 ,0.1,Yes,,,,"17,179,281"
Commerce Audience,PIA_4892,PIA_2013,Shopping Totes,"People investing in shopping totes to upgrade, organize, or furnish their living, working, or recreational spaces.",3,Purchase Intent,Luggage and Bags,Shopping Totes,,,,Purchase Intent > Luggage and Bags > Shopping Totes,$0.85 ,0.1,Yes,,,,
Commerce Audience,PIA_4893,PIA_2013,Suitcases,"People in the market for suitcases to upgrade, organize, or furnish their living, working, or recreational spaces.",3,Purchase Intent,Luggage and Bags,Suitcases,,,,Purchase Intent > Luggage and Bags > Suitcases,$0.85 ,0.1,No,,,,"20,000,000"
Commerce Audience,PIA_4894,PIA_2013,Train Cases,"Consumers interested in purchasing train cases to upgrade, organize, or furnish their living, working, or recreational spaces.",3,Purchase Intent,Luggage and Bags,Train Cases,,,,Purchase Intent > Luggage and Bags > Train Cases,$0.85 ,0.1,Yes,,,,
Commerce Audience,PIA_4930,PIA_2015,Books,"Households or businesses purchasing books to upgrade, organize, or furnish their living, working, or recreational spaces.",3,Purchase Intent,Media,Books,,,,Purchase Intent > Media > Books,$0.85 ,0.1,Yes,,,,"20,000,000"
Commerce Audience,PIA_4934,PIA_2015,Carpentry and Woodworking Project Plans,"Customers considering new carpentry and woodworking project plans to upgrade, organize, or furnish their living, working, or recreational spaces.",3,Purchase Intent,Media,Carpentry and Woodworking Project Plans,,,,Purchase Intent > Media > Carpentry and Woodworking Project Plans,$0.85 ,0.1,No,,,,
Commerce Audience,PIA_4935,PIA_2015,DVDs and Videos,"Buyers actively exploring options for dvds and videos to upgrade, organize, or furnish their living, working, or recreational spaces.",3,Purchase Intent,Media,DVDs and Videos,,,,Purchase Intent > Media > DVDs and Videos,$0.85 ,0.1,No,,,,
Commerce Audience,PIA_4939,PIA_2015,Magazines and Newspapers,"Customers considering new magazines and newspapers to upgrade, organize, or furnish their living, working, or recreational spaces.",3,Purchase Intent,Media,Magazines and Newspapers,,,,Purchase Intent > Media > Magazines and Newspapers,$0.85 ,0.1,No,,,,
Commerce Audience,PIA_4942,PIA_2015,Music and Sound Recordings,"Those seeking to upgrade with music and sound recordings to upgrade, organize, or furnish their living, working, or recreational spaces.",3,Purchase Intent,Media,Music and Sound Recordings,,,,Purchase Intent > Media > Music and Sound Recordings,$0.85 ,0.1,Yes,,,,"18,500,787"
Commerce Audience,PIA_4948,PIA_2015,Product Manuals,"People in the market for product manuals to upgrade, organize, or furnish their living, working, or recreational spaces.",3,Purchase Intent,Media,Product Manuals,,,,Purchase Intent > Media > Product Manuals,$0.85 ,0.1,No,,,,
Commerce Audience,PIA_4958,PIA_2015,Sheet Music,"People in the market for sheet music to upgrade, organize, or furnish their living, working, or recreational spaces.",3,Purchase Intent,Media,Sheet Music,,,,Purchase Intent > Media > Sheet Music,$0.85 ,0.1,No,,,,
Commerce Audience,PIA_4960,PIA_2016,Book Accessories,"Buyers actively exploring options for book accessories to upgrade, organize, or furnish their living, working, or recreational spaces.",3,Purchase Intent,Office Supplies,Book Accessories,,,,Purchase Intent > Office Supplies > Book Accessories,$0.85 ,0.1,No,,,,
Commerce Audience,PIA_4965,PIA_2016,Desk Pads and Blotters,"Those seeking to upgrade with desk pads and blotters to upgrade, organize, or furnish their living, working, or recreational spaces.",3,Purchase Intent,Office Supplies,Desk Pads and Blotters,,,,Purchase Intent > Office Supplies > Desk Pads and Blotters,$0.85 ,0.1,No,,,,
Commerce Audience,PIA_4966,PIA_2016,Filing and Organization,"People in the market for filing and organization to upgrade, organize, or furnish their living, working, or recreational spaces.",3,Purchase Intent,Office Supplies,Filing and Organization,,,,Purchase Intent > Office Supplies > Filing and Organization,$0.85 ,0.1,No,,,,
Commerce Audience,PIA_4993,PIA_2016,General Office Supplies,"Households or businesses purchasing general office supplies to upgrade, organize, or furnish their living, working, or recreational spaces.",3,Purchase Intent,Office Supplies,General Office Supplies,,,,Purchase Intent > Office Supplies > General Office Supplies,$0.85 ,0.1,Yes,,,,"20,000,000"
Commerce Audience,PIA_5031,PIA_2016,Impulse Sealers,"People investing in impulse sealers to upgrade, organize, or furnish their living, working, or recreational spaces.",3,Purchase Intent,Office Supplies,Impulse Sealers,,,,Purchase Intent > Office Supplies > Impulse Sealers,$0.85 ,0.1,No,,,,
Commerce Audience,PIA_5032,PIA_2016,Lap Desks,"Individuals sourcing lap desks to upgrade, organize, or furnish their living, working, or recreational spaces.",3,Purchase Intent,Office Supplies,Lap Desks,,,,Purchase Intent > Office Supplies > Lap Desks,$0.85 ,0.1,No,,,,
Commerce Audience,PIA_5033,PIA_2016,Name Plates,"Individuals sourcing name plates to upgrade, organize, or furnish their living, working, or recreational spaces.",3,Purchase Intent,Office Supplies,Name Plates,,,,Purchase Intent > Office Supplies > Name Plates,$0.85 ,0.1,No,,,,
Commerce Audience,PIA_5034,PIA_2016,Office and Chair Mats,"Consumers interested in purchasing office and chair mats to upgrade, organize, or furnish their living, working, or recreational spaces.",3,Purchase Intent,Office Supplies,Office and Chair Mats,,,,Purchase Intent > Office Supplies > Office and Chair Mats,$0.85 ,0.1,No,,,,
Commerce Audience,PIA_5038,PIA_2016,Office Carts,"Buyers actively exploring options for office carts to upgrade, organize, or furnish their living, working, or recreational spaces.",3,Purchase Intent,Office Supplies,Office Carts,,,,Purchase Intent > Office Supplies > Office Carts,$0.85 ,0.1,No,,,,
Commerce Audience,PIA_5044,PIA_2016,Office Equipment,"Customers considering new office equipment to upgrade, organize, or furnish their living, working, or recreational spaces.",3,Purchase Intent,Office Supplies,Office Equipment,,,,Purchase Intent > Office Supplies > Office Equipment,$0.85 ,0.1,No,,,,
Commerce Audience,PIA_5060,PIA_2016,Office Instruments,"Individuals sourcing office instruments to upgrade, organize, or furnish their living, working, or recreational spaces.",3,Purchase Intent,Office Supplies,Office Instruments,,,,Purchase Intent > Office Supplies > Office Instruments,$0.85 ,0.1,No,,,,
Commerce Audience,PIA_5082,PIA_2016,Paper Handling,"Consumers interested in purchasing paper handling to upgrade, organize, or furnish their living, working, or recreational spaces.",3,Purchase Intent,Office Supplies,Paper Handling,,,,Purchase Intent > Office Supplies > Paper Handling,$0.85 ,0.1,No,,,,
Commerce Audience,PIA_5089,PIA_2016,Presentation Supplies,"Households or businesses purchasing presentation supplies to upgrade, organize, or furnish their living, working, or recreational spaces.",3,Purchase Intent,Office Supplies,Presentation Supplies,,,,Purchase Intent > Office Supplies > Presentation Supplies,$0.85 ,0.1,No,,,,
Commerce Audience,PIA_5105,PIA_2016,Shipping Supplies,"Small business owners or individuals sourcing boxes, tape, and packaging materials.",3,Purchase Intent,Office Supplies,Shipping Supplies,,,,Purchase Intent > Office Supplies > Shipping Supplies,$0.85 ,0.1,No,,,,
Commerce Audience,PIA_5123,PIA_2018,Computer Software,"Shoppers looking for productivity tools, security software, creative suites, and subscriptions.",3,Purchase Intent,Software,Computer Software,,,,Purchase Intent > Software > Computer Software,$0.85 ,0.1,Yes,,,,"20,000,000"
Commerce Audience,PIA_5124,PIA_5123,Antivirus and Security Software,Security-conscious consumers investing in device protection.,4,Purchase Intent,Software,Computer Software,Antivirus and Security Software,,,Purchase Intent > Software > Computer Software > Antivirus and Security Software,$0.85 ,0.1,Yes,,,,"20,000,000"
Commerce Audience,PIA_5125,PIA_5123,Business and Productivity Software,Professionals buying apps or tools to optimize work output.,4,Purchase Intent,Software,Computer Software,Business and Productivity Software,,,Purchase Intent > Software > Computer Software > Business and Productivity Software,$0.85 ,0.1,Yes,,,,"19,763,767"
Commerce Audience,PIA_5129,PIA_5123,Educational Software,Parents or students acquiring learning tools for academic support.,4,Purchase Intent,Software,Computer Software,Educational Software,,,Purchase Intent > Software > Computer Software > Educational Software,$0.85 ,0.1,Yes,,,,"19,911,698"
Commerce Audience,PIA_5130,PIA_5123,"Financial, Tax and Accounting Software",Users preparing taxes or managing personal/business finances.,4,Purchase Intent,Software,Computer Software,"Financial, Tax and Accounting Software",,,"Purchase Intent > Software > Computer Software > Financial, Tax and Accounting Software",$0.85 ,0.1,No,,,,
Commerce Audience,PIA_5144,PIA_5123,Network Software,IT professionals and businesses sourcing networking and connectivity software.,4,Purchase Intent,Software,Computer Software,Network Software,,,Purchase Intent > Software > Computer Software > Network Software,$0.85 ,0.1,No,,,,
Commerce Audience,PIA_5146,PIA_5123,Operating Systems,Buyers selecting or upgrading computer and device operating systems.,4,Purchase Intent,Software,Computer Software,Operating Systems,,,Purchase Intent > Software > Computer Software > Operating Systems,$0.85 ,0.1,No,,,,
Commerce Audience,PIA_5148,PIA_2018,Digital Goods and Currency,"Buyers actively exploring options for digital goods and currency to upgrade, organize, or furnish their living, working, or recreational spaces.",3,Purchase Intent,Software,Digital Goods and Currency,,,,Purchase Intent > Software > Digital Goods and Currency,$0.85 ,0.1,No,,,,
Commerce Audience,PIA_5156,PIA_5123,Video Game Software,Gamers buying or downloading digital titles for console or PC play.,3,Purchase Intent,Software,Video Game Software,,,,Purchase Intent > Software > Video Game Software,$0.85 ,0.1,No,,,,
Commerce Audience,PIA_5158,PIA_2019,Athletics,Fitness enthusiasts browsing team or solo sport equipment.,3,Purchase Intent,Sporting Goods,Athletics,,,,Purchase Intent > Sporting Goods > Athletics,$0.85 ,0.1,Yes,,,,"18,359,875"
Commerce Audience,PIA_5317,PIA_2019,Exercise and Fitness,"Home gym builders or athletes purchasing weights, mats, or gear.",3,Purchase Intent,Sporting Goods,Exercise and Fitness,,,,Purchase Intent > Sporting Goods > Exercise and Fitness,$0.85 ,0.1,Yes,,,,"20,000,000"
Commerce Audience,PIA_5353,PIA_5317,Yoga and Pilates,"Mind-body shoppers seeking mats, blocks, or fitness apparel.",4,Purchase Intent,Sporting Goods,Exercise and Fitness,Yoga and Pilates,,,Purchase Intent > Sporting Goods > Exercise and Fitness > Yoga and Pilates,$0.85 ,0.1,Yes,,,,"20,000,000"
Commerce Audience,PIA_5359,PIA_2019,Indoor Games,"Shoppers buying pool tables, board games, or indoor sports gear.",3,Purchase Intent,Sporting Goods,Indoor Games,,,,Purchase Intent > Sporting Goods > Indoor Games,$0.85 ,0.1,Yes,,,,"19,850,644"
Commerce Audience,PIA_5401,PIA_2019,Outdoor Recreation,Nature lovers investing in gear for open-air activities.,3,Purchase Intent,Sporting Goods,Outdoor Recreation,,,,Purchase Intent > Sporting Goods > Outdoor Recreation,$0.85 ,0.1,Yes,,,,"811,080"
Commerce Audience,PIA_5412,PIA_5401,Camping and Hiking,"Adventurers shopping for tents, packs, or hiking accessories.",4,Purchase Intent,Sporting Goods,Outdoor Recreation,Camping and Hiking,,,Purchase Intent > Sporting Goods > Outdoor Recreation > Camping and Hiking,$0.85 ,0.1,Yes,,,,"20,000,000"
Commerce Audience,PIA_5447,PIA_5401,Cycling,"Enthusiasts purchasing bicycles, gear, and accessories for road or trail riding.",4,Purchase Intent,Sporting Goods,Outdoor Recreation,Cycling,,,Purchase Intent > Sporting Goods > Outdoor Recreation > Cycling,$0.85 ,0.1,No,,,,
Commerce Audience,PIA_5479,PIA_5401,Golf,"Golfers shopping for clubs, balls, apparel, and accessories.",4,Purchase Intent,Sporting Goods,Outdoor Recreation,Golf,,,Purchase Intent > Sporting Goods > Outdoor Recreation > Golf,$0.85 ,0.1,No,,,,
Commerce Audience,PIA_5532,PIA_5401,Winter Sports and Activities,"Shoppers sourcing gear and apparel for skiing, snowboarding, and snow play.",4,Purchase Intent,Sporting Goods,Outdoor Recreation,Winter Sports and Activities,,,Purchase Intent > Sporting Goods > Outdoor Recreation > Winter Sports and Activities,$0.85 ,0.1,No,,,,
Commerce Audience,PIA_5538,PIA_2020,Game Timers,"Shoppers looking for game timers to upgrade, organize, or furnish their living, working, or recreational spaces.",3,Purchase Intent,Toys and Games,Game Timers,,,,Purchase Intent > Toys and Games > Game Timers,$0.85 ,0.1,No,,,,
Commerce Audience,PIA_5539,PIA_2020,Games,"Households or businesses purchasing games to upgrade, organize, or furnish their living, working, or recreational spaces.",3,Purchase Intent,Toys and Games,Games,,,,Purchase Intent > Toys and Games > Games,$0.85 ,0.1,Yes,,,,"20,000,000"
Commerce Audience,PIA_5556,PIA_2020,Outdoor Play Equipment,"People in the market for outdoor play equipment to upgrade, organize, or furnish their living, working, or recreational spaces.",3,Purchase Intent,Toys and Games,Outdoor Play Equipment,,,,Purchase Intent > Toys and Games > Outdoor Play Equipment,$0.85 ,0.1,Yes,,,,"19,988,267"
Commerce Audience,PIA_5575,PIA_2020,Puzzles,"Those seeking to upgrade with puzzles to upgrade, organize, or furnish their living, working, or recreational spaces.",3,Purchase Intent,Toys and Games,Puzzles,,,,Purchase Intent > Toys and Games > Puzzles,$0.85 ,0.1,Yes,,,,"17,064,707"
Commerce Audience,PIA_5580,PIA_2020,Toys,Shoppers exploring options from plushies to action figures.,3,Purchase Intent,Toys and Games,Toys,,,,Purchase Intent > Toys and Games > Toys,$0.85 ,0.1,Yes,,,,"20,000,000"
Commerce Audience,PIA_5608,PIA_5580,"Dolls, Playsets and Toy Figures",Users buying imaginative toys often tied to characters or franchises.,4,Purchase Intent,Toys and Games,Toys,"Dolls, Playsets and Toy Figures",,,"Purchase Intent > Toys and Games > Toys > Dolls, Playsets and Toy Figures",$0.85 ,0.1,No,,,,
Commerce Audience,PIA_5621,PIA_5580,Educational Toys,Parents or teachers shopping for STEM or skill-building toys.,4,Purchase Intent,Toys and Games,Toys,Educational Toys,,,Purchase Intent > Toys and Games > Toys > Educational Toys,$0.85 ,0.1,Yes,,,,"20,000,000"
Commerce Audience,PIA_5682,PIA_5580,Sports Toys,"Buyers selecting balls, nets, and recreational sports equipment for play.",4,Purchase Intent,Toys and Games,Toys,Sports Toys,,,Purchase Intent > Toys and Games > Toys > Sports Toys,$0.85 ,0.1,No,,,,
Commerce Audience,PIA_5705,PIA_2021,Vehicle Parts and Accessories,"Customers considering new vehicle parts and accessories to upgrade, organize, or furnish their living, working, or recreational spaces.",3,Purchase Intent,Vehicles and Parts,Vehicle Parts and Accessories,,,,Purchase Intent > Vehicles and Parts > Vehicle Parts and Accessories,$0.85 ,0.1,Yes,,,,"11,439,361"
Commerce Audience,PIA_5773,PIA_2021,Vehicles,"Shoppers researching or actively buying cars, trucks, or personal transport options.",3,Purchase Intent,Vehicles and Parts,Vehicles,,,,Purchase Intent > Vehicles and Parts > Vehicles,$0.85 ,0.1,Yes,,,,"13,446,919"
Demographic,358,10547,Male,Readers who identify as Male.,3,Demographic,Gender,Male,,,,Demographic > Gender > Male,0.65,0.1,Yes,"7,346,178","7,346,178",,
Demographic,359,10547,Female,Readers who identify as Female.,3,Demographic,Gender,Female,,,,Demographic > Gender > Female,0.65,0.1,Yes,"12,990,524","12,990,524",,
Demographic,360,10550,Ownership,Household ownership related segments.,3,Demographic,Household Data,Ownership,,,,Demographic > Household Data > Ownership,0.65,0.1,Yes,"12,778,162","12,778,162",,
Demographic,361,360,Renters,Readers who are renters.,4,Demographic,Household Data,Ownership,Renters,,,Demographic > Household Data > Ownership > Renters,0.65,0.1,Yes,"972,956","972,956",,
Demographic,362,10557,"Household Income: $0 - $49,999","Readers whose estimated household income falls within the $0 - $49,999 range.",4,Demographic,Household Data,Household Income (USD),"$0 - $49,999",,,"Demographic > Household Data > Household Income (USD) > $0 - $49,999",0.65,0.1,Yes,"4,346,690","4,346,690",,
Demographic,363,10557,"Household Income: $50,000 - $99,999","Readers whose estimated household income falls within the $50,000 - $99,999 range.",4,Demographic,Household Data,Household Income (USD),"$50,000 - $99,999",,,"Demographic > Household Data > Household Income (USD) > $50,000 - $99,999",0.65,0.1,Yes,"6,837,314","6,837,314",,
Demographic,364,10557,"Household Income: $100,000 +","Readers whose estimated household income falls within the $100,000 + range.",4,Demographic,Household Data,Household Income (USD),"$100,000 +",,,"Demographic > Household Data > Household Income (USD) > $100,000 +",0.65,0.1,Yes,"4,276,046","4,276,046",,
Demographic,369,10518,Education (Highest Level),Readers who have achieved an education level of Education (Highest Level).,3,Demographic,Education and Occupation,Education (Highest Level),,,,Demographic > Education and Occupation > Education (Highest Level),0.65,0.1,Yes,"4,499,951","4,499,951",,
Demographic,370,369,College Education,Readers who have achieved an education level of College Education.,4,Demographic,Education and Occupation,Education (Highest Level),College Education,,,Demographic > Education and Occupation > Education (Highest Level) > College Education,0.65,0.1,Yes,"3,878,125","3,878,125",,
Demographic,371,370,Postgraduate Education,Readers who have achieved an education level of Postgraduate Education.,5,Demographic,Education and Occupation,Education (Highest Level),College Education,Postgraduate Education,,Demographic > Education and Occupation > Education (Highest Level) > College Education > Postgraduate Education,0.65,0.1,Yes,"1,994,005","1,994,005",,
Demographic,373,10632,Married,Readers who are married.,3,Demographic,Marital Status,Married,,,,Demographic > Marital Status > Married,0.65,0.1,Yes,"10,590,059","10,590,059",,
Demographic,374,10632,Single,Readers who are single.,3,Demographic,Marital Status,Single,,,,Demographic > Marital Status > Single,0.65,0.1,Yes,"3,612,393","3,612,393",,
Demographic,378,10499,Length of Residence: 15 years,Readers whose length of residence is 15 years,5,Demographic,Household Data,Length of Residence,7+ Years,15 years,,Demographic > Household Data > Length of Residence > 7+ Years > 15 years,0.65,0.1,Yes,"6,533,615","6,533,615",,
Demographic,379,11986,Millenials,Readers who are within the age range of Millenials.,4,Demographic,Age Range,Generation,Millenials,,,Demographic > Age Range > Generation > Millenials,0.65,0.1,Yes,"1,004,043","1,004,043",,
Demographic,380,11986,Gen X,Readers who are within the age range of Gen X.,4,Demographic,Age Range,Generation,Gen X,,,Demographic > Age Range > Generation > Gen X,0.65,0.1,Yes,"4,385,938","4,385,938",,
Demographic,381,11986,Boomer,Readers who are within the age range of Boomer.,4,Demographic,Age Range,Generation,Boomer,,,Demographic > Age Range > Generation > Boomer,0.65,0.1,Yes,"8,270,720","8,270,720",,
Demographic,382,11986,Silent Generation,Readers who are within the age range of Silent Generation.,4,Demographic,Age Range,Generation,Silent Generation,,,Demographic > Age Range > Generation > Silent Generation,0.65,0.1,Yes,"1,518,882","1,518,882",,
Demographic,384,10515,25-29,Readers who are within the age range of 25-29.,3,Demographic,Age Range,25-29,,,,Demographic > Age Range > 25-29,0.65,0.1,Yes,"15,091","15,091",,
